Xi0_hMpc2,chi2_log,dof,chi2_dof,delta_chi2_vs_best,delta_chi2_vs_zero
7.68855541471674e-09,5184.231297675308,450,11.520513994834019,3882.0044878486083,-0.42584411791267485
8.275766320702973e-09,5184.19877492955,450,11.520441722065668,3881.9719651028504,-0.45836686367056245
8.907825267642241e-09,5184.163768421877,450,11.520363929826393,3881.9369585951767,-0.4933733713442052
9.588157509999107e-09,5184.126088479921,450,11.520280196622048,3881.8992786532212,-0.531053313299708
1.0320449904927851e-08,5184.085530948966,450,11.52019006877548,3881.858721122266,-0.571610844254792
1.110867089209251e-08,5184.041876086483,450,11.520093057969962,3881.815066259783,-0.6152657067377731
1.1957091999438963e-08,5183.994887372318,450,11.51998863860515,3881.768077545618,-0.6622544209030821
1.2870310991463354e-08,5183.944310228116,450,11.519876244951368,3881.7175004014157,-0.7128315651052617
1.3853276785421932e-08,5183.88987063908,450,11.519755268086845,3881.66306081238,-0.7672711541408717
1.4911316270508397e-08,5183.83127367061,450,11.519625052601356,3881.6044638439103,-0.8258681226107001
1.6050163175336856e-08,5183.768201871823,450,11.519484893048496,3881.5413920451233,-0.8889399213976503
1.7275989140169763e-08,5183.7003135573605,450,11.519334030127467,3881.4735037306605,-0.9568282358604847
1.8595437162276682e-08,5183.627240958172,450,11.519171646573714,3881.4004311314716,-1.029900835049375
2.001565759567169e-08,5183.548588231362,450,11.51899686273636,3881.3217784046624,-1.108553561858571
2.1544346900318822e-08,5183.46392931834,450,11.518808731818533,3881.23711949164,-1.1932124748809656
2.3189789350795585e-08,5183.372805639747,450,11.518606234754992,3881.1459958130467,-1.2843361534742144
2.4960901930441588e-08,5183.274723614763,450,11.518388274699474,3881.0479137880634,-1.3824181784575558
2.686728265428373e-08,5183.169151991426,450,11.518153671092056,3880.9423421647257,-1.4879898017952655
2.891926258260833e-08,5183.055518973628,450,11.517901153274728,3880.828709146928,-1.6016228195931035
3.112796180705332e-08,5182.933209129328,450,11.517629353620729,3880.706399302628,-1.7239326638928105
3.350534971261973e-08,5182.801560063398,450,11.517336800140885,3880.574750236698,-1.8555817298229158
3.606430984217447e-08,5182.659858837225,450,11.517021908527168,3880.4330490105253,-1.9972829559956153
3.881870971495878e-08,5182.5073381158845,450,11.516682973590855,3880.2805282891845,-2.149803677336422
4.178347597746186e-08,5182.343172022216,450,11.51631816004937,3880.116362195516,-2.3139697710048495
4.497467529391803e-08,5182.166471675633,450,11.515925492612519,3879.939661848933,-2.490670117587797
4.840960141478949e-08,5181.976280391781,450,11.51550284531507,3879.749470565081,-2.68086140143987
5.210686889507574e-08,5181.771568517394,450,11.515047930038655,3879.5447586906944,-2.885573275826573
5.608651397032811e-08,5181.551227872789,450,11.514558284161755,3879.3244180460892,-3.1059139204317034
6.037010313703756e-08,5181.3140657723625,450,11.514031257271917,3879.0872559456625,-3.3430760208584616
6.498085002581278e-08,5181.058798591237,450,11.513463996869415,3878.831988764537,-3.59834320198388
6.994374120071094e-08,5180.784044843866,450,11.512853432986368,3878.5572350171656,-3.8730969493553857
7.528567156644912e-08,5180.488317737821,450,11.512196261639602,3878.2615079111206,-4.168824055400364
8.103559011729893e-08,5180.170017163322,450,11.511488927029605,3877.943207336622,-4.487124629898972
8.722465681750428e-08,5179.827421076051,450,11.510727602391224,3877.600611249351,-4.829720717169948
9.388641146339075e-08,5179.458676227811,450,11.509908169395136,3877.2318664011113,-5.198465565409606
1.0105695544226166e-07,5179.061788196083,450,11.509026195991297,3876.8349783693834,-5.595353597137546
1.0877514737307279e-07,5178.634610660061,450,11.508076912577915,3876.4078008333613,-6.022531133159646
1.1708281368909704e-07,5178.174833866897,450,11.50705518637088,3875.9480240401967,-6.482307926324211
1.2602497530377337e-07,5177.679972227719,450,11.505955493839377,3875.453162401019,-6.977169565501754
1.3565009158808488e-07,5177.1473509787065,450,11.504771891063792,3874.9205411520065,-7.509790814514417
1.4601032298162908e-07,5176.574091837758,450,11.503497981861685,3874.347282011058,-8.083049955463139
1.5716181366052452e-07,5175.957097582298,450,11.502126883516217,3873.730287755598,-8.700044210922897
1.6916499579398304e-07,5175.293035468506,450,11.500651189930013,3873.066225641806,-9.364106324715067
1.8208491703838258e-07,5174.5783194064925,450,11.499062932014427,3872.3515095797925,-10.078822386728461
1.9599159304358843e-07,5173.80909079997,450,11.497353535111046,3871.5822809732704,-10.848050993250581
2.1096038688183258e-07,5172.981197952528,450,11.495513773227842,3870.7543881258284,-11.675943840692526
2.27072417455348e-07,5172.090173935748,450,11.493533719857217,3869.863364109048,-12.566967857473173
2.444149990960048e-07,5171.131212807242,450,11.491402695127205,3868.9044029805423,-13.52592898597868
2.6308211473921994e-07,5170.099144058923,450,11.48910920901983,3867.8723342322232,-14.557997734297714
2.8317492523637665e-07,5168.988405167744,450,11.486640900372764,3866.7615953410436,-15.668736625477322
3.048023175658059e-07,5167.793012112539,450,11.483984471361198,3865.566202285839,-16.8641296806818
3.280814949132081e-07,5166.506527711563,450,11.481125617136806,3864.2797178848627,-18.150614081658205
3.531386118192713e-07,5165.122027625745,450,11.478048950279435,3862.8952177990454,-19.535114167475513
3.80109457836481e-07,5163.632063862713,450,11.474737919694919,3861.405254036013,-21.025077930507905
4.0914019339999816e-07,5162.028625606111,450,11.471174723569135,3859.801815779411,-22.628516187110108
4.403881419004314e-07,5160.303097183825,450,11.467340215964056,3858.0762873571252,-24.354044609395714
4.740226422509077e-07,5158.446212977268,450,11.463213806616151,3856.2194031505683,-26.210928815952684
5.102259665686785e-07,5156.448009062132,450,11.458773353471404,3854.221199235432,-28.209132731089085
5.491943079443559e-07,5154.297771358701,450,11.45399504746378,3852.0709615320006,-30.359370434520315
5.911388436516999e-07,5151.983980057392,450,11.448853289016427,3849.757170230692,-32.673161735829126
6.362868795597115e-07,5149.4942500723155,450,11.443320555716257,3847.2674402456155,-35.16289172090546
6.848830819488136e-07,5146.815267262734,450,11.437367260583853,3844.588457436034,-37.841874530487075
7.371908034066061e-07,5143.932720149215,450,11.430961600331589,3841.705910322515,-40.724421644005815
7.934935099884589e-07,5140.831226838475,450,11.42406939297439,3838.6044170117752,-43.82591495474571
8.540963173770411e-07,5137.494256858104,450,11.416653904129118,3835.2674470314037,-47.16288493511729
9.193276443655247e-07,5133.904047590334,450,11.408675661311854,3831.677237763634,-50.75309420288704
9.895409926250375e-07,5130.041514982546,450,11.400092255516768,3827.814705155846,-54.61562681067517
1.0651168624012551e-06,5125.886158201934,450,11.390858129337632,3823.6593483752345,-58.770983591286495
1.1464648145217094e-06,5121.4159578929,450,11.380924350873112,3819.1891480662002,-63.24118390032072
1.2340256898882342e-06,5116.607267688879,450,11.370238372641953,3814.380457862179,-68.04987410434205
1.3282739984823986e-06,5111.434698625987,450,11.358743774724415,3809.207888799287,-73.2224431672339
1.42972049083047e-06,5105.870996104653,450,11.346379991343674,3803.6441862779534,-78.78614568856756
1.538914925863175e-06,5099.8869090482885,450,11.333082020107307,3797.6600992215886,-84.7702327449324
1.656449050169821e-06,5093.451050915876,450,11.318780113146392,3791.2242410891763,-91.20609087734465
1.7829598047919966e-06,5086.529752239134,450,11.303399449420297,3784.302942412434,-98.12738955408713
1.919132776935102e-06,5079.086904376325,450,11.286859787502944,3776.860094549625,-105.5702374168959
2.065705915303183e-06,5071.083794204997,450,11.269075098233326,3768.8569843782966,-113.57334758822435
2.2234735291912846e-06,5062.478929517095,450,11.249953176704656,3760.252119690395,-122.17821227612603
2.393290593007152e-06,5053.227854934064,450,11.22939523318681,3751.0010451073645,-131.4292868591565
2.5760773795493983e-06,5043.282958229292,450,11.207295462731759,3741.0561484025916,-141.37418356392936
2.772824447150728e-06,5032.593267033603,450,11.183540593408008,3730.3664572069033,-152.06387475961765
2.9845980077126366e-06,5021.104236010026,450,11.158009413355614,3718.8774261833264,-163.55290578319455
3.212545704722012e-06,5008.757524720696,450,11.130572277157102,3706.530714893996,-175.89961707252496
3.457902832561806e-06,4995.490766576709,450,11.101090592392685,3693.2639567500087,-189.16637521651228
3.7219990308195816e-06,4981.237329466107,450,11.069416287702461,3679.0105196394074,-203.4198123271135
4.006265489871691e-06,4965.926068903185,450,11.0353912642293,3663.6992590764853,-218.73107289003565
4.312242706791523e-06,4949.481074841154,450,10.998846832980341,3647.2542650144537,-235.17606695206723
4.641588833612773e-06,4931.821413649028,450,10.959603141442283,3629.594603822328,-252.83572814419313
4.996088663188593e-06,4912.860867183141,450,10.917468593740313,3610.6340573564407,-271.7962746100802
